timestamp	insight_quality_score	specificity	actionability	personality_match	timing_relevance	insights_evaluated	eval_seconds	description
2026-03-25T11:22:04.577Z	0.629250	0.580000	0.465000	0.880000	0.600000	20	7.4	baseline (original)
2026-03-25T11:31:04.862Z	0.631250	0.580000	0.480000	0.870000	0.605000	20	7.0	baseline (original)
2026-03-25T12:13:22.674Z	0.558500	0.520000	0.400000	0.815000	0.485000	20	18.2	baseline (1 PARSE_FAILED)
2026-03-25T12:13:48.612Z	0.600250	0.540000	0.455000	0.860000	0.550000	20	6.2	best-config-variance-run
2026-03-25T12:14:11.445Z	0.596750	0.555000	0.450000	0.860000	0.500000	20	5.8	best-config-variance-run
2026-03-25T12:15:26.427Z	0.555000	0.515000	0.405000	0.815000	0.465000	20	6.9	exp1: prompt v2 + temp 0.5 + min_data 3 + max_tokens 250 (1 PARSE_FAILED)
2026-03-25T12:15:49.027Z	0.611250	0.550000	0.465000	0.865000	0.575000	20	6.9	exp1: prompt v2 + temp 0.5 + min_data 3 + max_tokens 250
2026-03-25T12:16:05.577Z	0.559250	0.510000	0.410000	0.825000	0.480000	20	5.9	exp1: prompt v2 + temp 0.5 + min_data 3 + max_tokens 250 (1 PARSE_FAILED)
2026-03-25T12:16:47.305Z	0.607750	0.550000	0.455000	0.855000	0.585000	20	5.8	exp1: prompt v2 (reverted params to baseline)
2026-03-25T12:17:22.336Z	0.600250	0.565000	0.450000	0.875000	0.475000	20	6.0	exp2: prompt v2 + memories 300 + reflections 15
2026-03-25T12:17:40.389Z	0.588250	0.550000	0.440000	0.855000	0.480000	20	6.1	exp2: prompt v2 + memories 300 + reflections 15
2026-03-25T12:18:08.433Z	0.605750	0.555000	0.445000	0.865000	0.560000	20	6.6	exp3: prompt v2 + temp 0.5 + personality 1.2
2026-03-25T12:18:25.852Z	0.603500	0.550000	0.460000	0.860000	0.540000	20	6.6	exp3: prompt v2 + temp 0.5 + personality 1.2
2026-03-25T12:18:55.336Z	0.592000	0.550000	0.420000	0.860000	0.530000	20	6.0	exp4: prompt v2 + temp 0.9 + max_tokens 150 + personality 1.2
2026-03-25T12:19:13.612Z	0.597500	0.550000	0.460000	0.860000	0.500000	20	6.2	exp4: prompt v2 + temp 0.9 + max_tokens 150 + personality 1.2
2026-03-25T12:20:05.324Z	0.606500	0.565000	0.445000	0.875000	0.525000	20	6.7	exp5: prompt v3 + temp 0.6 + min_data 3 + memories 250 + reflections 12 + dedup 0.50
2026-03-25T12:20:21.966Z	0.552000	0.495000	0.420000	0.810000	0.475000	20	6.6	exp5: (1 PARSE_FAILED)
2026-03-25T12:20:41.982Z	0.571750	0.505000	0.425000	0.825000	0.550000	20	6.5	exp5: (1 PARSE_FAILED)
2026-03-25T12:21:47.452Z	0.593250	0.525000	0.440000	0.865000	0.555000	20	6.1	exp6: prompt v4 + temp 0.65 + dedup 0.55
2026-03-25T12:22:15.500Z	0.600263	0.552632	0.463158	0.873684	0.484211	19	15.4	exp6: (1 FAILED insight)
2026-03-25T12:22:35.415Z	0.594500	0.530000	0.430000	0.855000	0.585000	20	5.5	exp6: x5 batch run 1
2026-03-25T12:22:41.384Z	0.583250	0.540000	0.440000	0.855000	0.470000	20	5.6	exp6: x5 batch run 2
2026-03-25T12:22:47.267Z	0.591500	0.545000	0.450000	0.865000	0.480000	20	5.6	exp6: x5 batch run 3
2026-03-25T12:22:54.018Z	0.548500	0.495000	0.405000	0.805000	0.485000	20	6.4	exp6: x5 batch run 4
2026-03-25T12:23:01.348Z	0.573000	0.530000	0.420000	0.815000	0.525000	20	7.0	exp6: x5 batch run 5
2026-03-25T12:23:39.411Z	0.607750	0.575000	0.435000	0.870000	0.535000	20	6.1	baseline verification run 1
2026-03-25T12:23:45.784Z	0.595500	0.530000	0.450000	0.860000	0.550000	20	6.0	baseline verification run 2
2026-03-25T12:23:52.523Z	0.557000	0.515000	0.410000	0.815000	0.470000	20	6.2	baseline verification run 3
2026-03-25T12:23:59.910Z	0.588750	0.560000	0.445000	0.865000	0.435000	20	6.8	baseline verification run 4
2026-03-25T12:24:06.542Z	0.612500	0.545000	0.460000	0.870000	0.595000	20	6.2	baseline verification run 5
2026-03-25T12:24:51.954Z	0.605000	0.555000	0.445000	0.865000	0.555000	20	5.4	exp8: best config x10 run 1
2026-03-25T12:25:07.591Z	0.563000	0.510000	0.400000	0.820000	0.530000	20	15.3	exp8: best config x10 run 2 (1 FAILED)
2026-03-25T12:25:14.975Z	0.591000	0.535000	0.440000	0.860000	0.525000	20	6.7	exp8: best config x10 run 3
2026-03-25T12:25:21.814Z	0.586500	0.535000	0.460000	0.855000	0.470000	20	6.2	exp8: best config x10 run 4
2026-03-25T12:25:28.096Z	0.601750	0.570000	0.445000	0.870000	0.490000	20	5.9	exp8: best config x10 run 5
2026-03-25T12:25:34.032Z	0.597750	0.545000	0.435000	0.860000	0.555000	20	5.6	exp8: best config x10 run 6
2026-03-25T12:25:50.526Z	0.610789	0.568421	0.452632	0.863158	0.552632	19	16.1	exp8: best config x10 run 7 (1 FAILED)
2026-03-25T12:25:56.796Z	0.599000	0.545000	0.440000	0.860000	0.555000	20	6.0	exp8: best config x10 run 8
2026-03-25T12:26:02.559Z	0.599000	0.565000	0.440000	0.865000	0.500000	20	5.4	exp8: best config x10 run 9
2026-03-25T12:26:16.760Z	0.592250	0.555000	0.430000	0.850000	0.520000	20	13.9	exp8: best config x10 run 10
2026-03-25T12:27:14.932Z	0.606000	0.560000	0.450000	0.860000	0.550000	20	6.2	best-config-variance-run
2026-03-25T12:27:30.676Z	0.559474	0.526316	0.389474	0.821053	0.484211	19	15.4	best-config-variance-run
2026-03-25T12:27:36.752Z	0.600000	0.570000	0.445000	0.875000	0.470000	20	5.5	best-config-variance-run
2026-03-25T12:27:43.499Z	0.601500	0.560000	0.440000	0.870000	0.520000	20	6.5	best-config-variance-run
2026-03-25T12:27:55.565Z	0.588750	0.535000	0.450000	0.850000	0.510000	20	11.5	best-config-variance-run
2026-03-25T12:28:03.135Z	0.593750	0.565000	0.445000	0.860000	0.465000	20	7.1	best-config-variance-run
2026-03-25T12:28:11.044Z	0.607250	0.550000	0.445000	0.860000	0.590000	20	7.5	best-config-variance-run
2026-03-25T12:28:23.722Z	0.596250	0.550000	0.445000	0.855000	0.525000	20	12.2	best-config-variance-run
2026-03-25T12:28:29.894Z	0.604000	0.565000	0.430000	0.865000	0.550000	20	5.5	best-config-variance-run
2026-03-25T12:28:37.747Z	0.594000	0.545000	0.455000	0.855000	0.505000	20	7.3	best-config-variance-run
2026-03-25T12:29:04.559Z	0.580000	0.525000	0.445000	0.855000	0.475000	20	5.3	best-config-variance-run
2026-03-25T12:29:13.569Z	0.599000	0.555000	0.450000	0.860000	0.515000	20	8.7	best-config-variance-run
2026-03-25T12:29:20.292Z	0.561000	0.505000	0.405000	0.820000	0.520000	20	6.2	best-config-variance-run
2026-03-25T12:29:26.414Z	0.612500	0.550000	0.440000	0.865000	0.625000	20	5.7	best-config-variance-run
2026-03-25T12:29:33.293Z	0.603500	0.560000	0.450000	0.865000	0.525000	20	6.3	best-config-variance-run
2026-03-25T12:29:40.734Z	0.613250	0.560000	0.450000	0.880000	0.565000	20	7.0	best-config-variance-run
2026-03-25T12:29:46.367Z	0.604250	0.570000	0.450000	0.860000	0.515000	20	5.2	best-config-variance-run
2026-03-25T12:29:52.360Z	0.605500	0.560000	0.450000	0.870000	0.530000	20	5.5	best-config-variance-run
2026-03-25T12:29:58.482Z	0.613750	0.550000	0.455000	0.870000	0.600000	20	5.6	best-config-variance-run
2026-03-25T12:30:17.654Z	0.614211	0.557895	0.463158	0.868421	0.573684	19	18.8	best-config-variance-run
2026-03-25T12:30:23.543Z	0.600000	0.550000	0.450000	0.865000	0.525000	20	5.3	best-config-variance-run
2026-03-25T12:30:29.829Z	0.603500	0.540000	0.445000	0.865000	0.580000	20	5.8	best-config-variance-run
2026-03-25T12:30:35.831Z	0.563750	0.510000	0.405000	0.815000	0.535000	20	5.5	best-config-variance-run
2026-03-25T12:30:43.050Z	0.610000	0.545000	0.460000	0.860000	0.595000	20	6.6	best-config-variance-run
2026-03-25T12:30:49.334Z	0.605750	0.565000	0.455000	0.865000	0.520000	20	5.6	best-config-variance-run
2026-03-25T12:31:14.700Z	0.599250	0.560000	0.445000	0.865000	0.505000	20	5.7	best-config-variance-run
2026-03-25T12:31:21.766Z	0.587000	0.550000	0.455000	0.865000	0.430000	20	6.4	best-config-variance-run
2026-03-25T12:31:28.083Z	0.550250	0.510000	0.410000	0.810000	0.445000	20	5.6	best-config-variance-run
2026-03-25T12:31:35.215Z	0.591500	0.540000	0.445000	0.850000	0.525000	20	6.5	best-config-variance-run
2026-03-25T12:31:42.524Z	0.585250	0.520000	0.450000	0.860000	0.505000	20	6.7	best-config-variance-run
2026-03-25T12:31:50.009Z	0.587250	0.535000	0.455000	0.860000	0.475000	20	6.9	best-config-variance-run
2026-03-25T12:31:57.236Z	0.586500	0.540000	0.445000	0.860000	0.475000	20	6.4	best-config-variance-run
2026-03-25T12:32:05.462Z	0.598250	0.550000	0.445000	0.860000	0.530000	20	7.7	best-config-variance-run
2026-03-25T12:32:21.713Z	0.595789	0.542105	0.447368	0.857895	0.531579	19	15.5	best-config-variance-run
2026-03-25T12:32:29.789Z	0.589000	0.555000	0.435000	0.850000	0.490000	20	7.1	best-config-variance-run
2026-03-25T12:32:36.562Z	0.587750	0.540000	0.445000	0.865000	0.475000	20	5.8	best-config-variance-run
2026-03-25T12:32:42.991Z	0.596750	0.550000	0.445000	0.860000	0.520000	20	5.9	best-config-variance-run
2026-03-25T12:32:49.497Z	0.553500	0.505000	0.395000	0.800000	0.520000	20	6.0	best-config-variance-run
2026-03-25T12:32:56.070Z	0.608500	0.550000	0.470000	0.870000	0.540000	20	5.9	best-config-variance-run
2026-03-25T12:33:02.450Z	0.601500	0.545000	0.445000	0.865000	0.555000	20	5.8	best-config-variance-run
2026-03-25T12:33:08.899Z	0.558750	0.510000	0.415000	0.815000	0.485000	20	5.7	best-config-variance-run
2026-03-25T12:33:16.131Z	0.594750	0.545000	0.450000	0.875000	0.485000	20	6.7	best-config-variance-run
2026-03-25T12:33:33.647Z	0.605526	0.547368	0.442105	0.863158	0.584211	19	16.2	best-config-variance-run
2026-03-25T12:33:40.382Z	0.587250	0.530000	0.440000	0.855000	0.520000	20	6.0	best-config-variance-run
2026-03-25T12:33:46.837Z	0.586250	0.530000	0.425000	0.845000	0.555000	20	5.7	best-config-variance-run
